80
1,18 2,17 3,18 4,8 5,18 6,5 7,13 8,14 9,5 10,14 11,19 12,3 13,19 14,2 15,20 16,13 17,4 18,14 19,19 20,19 21,1 22,4 23,20 24,20 25,15 26,15 27,9 28,5 29,4 30,20 31,11 32,2 33,8 34,20 35,1 36,5 37,4 38,6 39,11 40,20 41,19 42,1 43,2 44,10 45,2 46,14 47,2 48,17 49,7 50,12 51,7 52,19 53,7 54,19 55,19 56,2 57,13 58,7 59,18 60,8 61,19 62,8 63,1 64,6 65,7 66,14 67,3 68,2 69,19 70,5 71,2 72,9 73,5 74,15 75,18 76,19 77,8 78,11 79,15 
0,15 2,14 3,14 4,5 5,1 6,12 7,3 8,14 9,4 10,2 11,11 12,11 13,12 14,11 15,12 16,9 17,17 18,17 19,11 20,11 21,15 22,15 23,12 24,15 25,12 26,18 27,13 28,10 29,6 30,15 31,16 32,12 33,9 34,9 35,16 36,1 37,20 38,11 39,14 40,15 41,4 42,16 43,6 44,15 45,6 46,9 47,3 48,3 49,5 50,6 51,5 52,11 53,12 54,8 55,5 56,3 57,5 58,9 59,4 60,10 61,4 62,20 63,13 64,4 65,20 66,1 67,4 68,12 69,11 70,17 71,6 72,14 73,12 74,3 75,20 76,18 77,11 78,2 79,12 
0,7 1,7 3,16 4,9 5,19 6,3 7,14 8,13 9,19 10,14 11,17 12,1 13,17 14,8 15,13 16,20 17,7 18,13 19,15 20,18 21,3 22,3 23,16 24,8 25,15 26,18 27,7 28,4 29,1 30,9 31,7 32,7 33,7 34,14 35,8 36,17 37,8 38,1 39,10 40,6 41,6 42,6 43,6 44,15 45,5 46,11 47,6 48,3 49,3 50,1 51,13 52,18 53,3 54,8 55,5 56,9 57,5 58,4 59,12 60,5 61,4 62,10 63,4 64,10 65,15 66,11 67,7 68,2 69,3 70,16 71,20 72,8 73,13 74,17 75,2 76,17 77,7 78,8 79,19 
0,10 1,8 2,11 4,19 5,10 6,10 7,15 8,11 9,15 10,18 11,2 12,19 13,1 14,4 15,2 16,3 17,18 18,4 19,1 20,12 21,6 22,16 23,11 24,14 25,20 26,7 27,7 28,8 29,6 30,14 31,6 32,7 33,13 34,9 35,5 36,15 37,18 38,19 39,5 40,4 41,9 42,18 43,3 44,9 45,1 46,16 47,3 48,11 49,12 50,3 51,2 52,17 53,10 54,4 55,2 56,9 57,2 58,9 59,16 60,7 61,14 62,14 63,13 64,7 65,14 66,9 67,1 68,11 69,8 70,17 71,7 72,8 73,14 74,9 75,8 76,7 77,16 78,11 79,9 
0,7 1,13 2,10 3,16 5,15 6,5 7,17 8,3 9,6 10,5 11,11 12,5 13,19 14,16 15,9 16,17 17,9 18,18 19,17 20,11 21,17 22,5 23,17 24,4 25,18 26,17 27,11 28,16 29,5 30,13 31,4 32,11 33,18 34,13 35,6 36,12 37,9 38,15 39,14 40,15 41,11 42,16 43,11 44,9 45,11 46,19 47,17 48,19 49,16 50,13 51,2 52,4 53,17 54,18 55,7 56,7 57,15 58,10 59,2 60,19 61,2 62,6 63,1 64,19 65,10 66,19 67,10 68,11 69,13 70,16 71,5 72,15 73,11 74,15 75,4 76,14 77,5 78,20 79,12 
0,1 1,5 2,5 3,4 4,13 6,3 7,3 8,11 9,9 10,12 11,5 12,19 13,5 14,10 15,11 16,16 17,11 18,9 19,5 20,1 21,13 22,12 23,17 24,8 25,3 26,3 27,3 28,8 29,8 30,14 31,11 32,20 33,10 34,16 35,15 36,15 37,10 38,17 39,5 40,18 41,20 42,9 43,8 44,17 45,10 46,18 47,12 48,13 49,19 50,16 51,5 52,11 53,8 54,14 55,10 56,2 57,16 58,4 59,1 60,15 61,18 62,11 63,6 64,19 65,6 66,1 67,13 68,15 69,9 70,10 71,4 72,1 73,10 74,11 75,17 76,12 77,9 78,8 79,4 
0,7 1,15 2,20 3,9 4,14 5,13 7,11 8,15 9,9 10,14 11,7 12,15 13,3 14,18 15,1 16,2 17,3 18,13 19,6 20,10 21,1 22,7 23,13 24,13 25,17 26,4 27,9 28,8 29,4 30,16 31,11 32,2 33,11 34,2 35,10 36,4 37,15 38,20 39,11 40,15 41,14 42,17 43,9 44,8 45,6 46,1 47,1 48,9 49,5 50,7 51,10 52,6 53,13 54,2 55,10 56,1 57,17 58,19 59,8 60,12 61,14 62,10 63,13 64,16 65,12 66,3 67,12 68,6 69,14 70,2 71,12 72,19 73,10 74,20 75,7 76,16 77,13 78,19 79,16 
0,17 1,5 2,5 3,14 4,10 5,18 6,4 8,2 9,15 10,2 11,10 12,6 13,7 14,11 15,11 16,15 17,14 18,5 19,6 20,11 21,18 22,7 23,2 24,9 25,8 26,14 27,7 28,3 29,6 30,5 31,18 32,14 33,2 34,14 35,8 36,3 37,12 38,3 39,4 40,6 41,16 42,5 43,3 44,14 45,16 46,5 47,8 48,1 49,9 50,13 51,12 52,19 53,11 54,13 55,7 56,19 57,6 58,13 59,1 60,3 61,17 62,11 63,17 64,18 65,4 66,16 67,20 68,15 69,18 70,16 71,12 72,13 73,20 74,7 75,18 76,7 77,11 78,6 79,8 
0,12 1,18 2,19 3,10 4,1 5,3 6,16 7,19 9,9 10,8 11,11 12,11 13,16 14,1 15,19 16,6 17,17 18,14 19,17 20,3 21,11 22,12 23,15 24,15 25,4 26,13 27,13 28,2 29,15 30,10 31,9 32,6 33,19 34,19 35,15 36,19 37,2 38,2 39,17 40,2 41,1 42,20 43,12 44,17 45,12 46,11 47,14 48,8 49,16 50,10 51,11 52,7 53,14 54,17 55,13 56,17 57,9 58,17 59,18 60,3 61,6 62,19 63,9 64,5 65,17 66,15 67,15 68,10 69,17 70,12 71,11 72,17 73,3 74,15 75,5 76,14 77,17 78,18 79,2 
0,12 1,8 2,4 3,10 4,13 5,20 6,15 7,1 8,20 10,11 11,10 12,14 13,9 14,8 15,14 16,5 17,17 18,9 19,19 20,18 21,5 22,2 23,9 24,13 25,16 26,15 27,18 28,10 29,11 30,15 31,3 32,14 33,14 34,18 35,16 36,6 37,17 38,10 39,18 40,8 41,12 42,8 43,1 44,12 45,7 46,15 47,8 48,3 49,15 50,7 51,13 52,11 53,20 54,1 55,3 56,16 57,7 58,20 59,17 60,9 61,7 62,19 63,14 64,12 65,16 66,9 67,10 68,4 69,10 70,7 71,3 72,2 73,14 74,3 75,5 76,1 77,9 78,13 79,15 
0,3 1,11 2,7 3,13 4,2 5,19 6,8 7,9 8,5 9,7 11,5 12,5 13,5 14,15 15,19 16,17 17,2 18,7 19,6 20,17 21,17 22,12 23,19 24,10 25,18 26,14 27,14 28,18 29,2 30,6 31,4 32,17 33,8 34,11 35,1 36,10 37,1 38,8 39,18 40,18 41,15 42,3 43,2 44,11 45,9 46,20 47,7 48,11 49,19 50,4 51,7 52,15 53,8 54,18 55,16 56,5 57,11 58,9 59,14 60,4 61,7 62,17 63,20 64,14 65,19 66,1 67,3 68,20 69,8 70,13 71,17 72,14 73,15 74,10 75,5 76,3 77,10 78,3 79,5 
